Product,Month,Quantity,Revenue,Cost_Price,Selling_Price
Tomato (kg),2025-08,198,11682,33,61
Tomato (kg),2025-09,82,4838,52,86
Tomato (kg),2025-10,106,6254,53,83
Tomato (kg),2025-11,128,7552,79,98
Tomato (kg),2025-12,79,4661,49,72
Onion (kg),2025-07,184,17480,74,88
Onion (kg),2025-08,96,9120,24,58
Onion (kg),2025-09,120,11400,67,98
Onion (kg),2025-10,170,16150,49,79
Onion (kg),2025-11,115,10925,47,52
Onion (kg),2025-12,133,12635,45,54
Potato (kg),2025-07,116,9164,77,104
Potato (kg),2025-08,97,7663,13,26
Potato (kg),2025-09,153,12087,19,42
Potato (kg),2025-10,77,6083,65,78
Potato (kg),2025-11,146,11534,24,42
Potato (kg),2025-12,128,10112,69,109
Apple (kg),2025-07,104,3224,45,63
Apple (kg),2025-08,127,3937,52,71
Apple (kg),2025-09,96,2976,54,90
Apple (kg),2025-10,199,6169,26,49
Apple (kg),2025-11,126,3906,63,86
Apple (kg),2025-12,129,3999,42,72
Banana (dozen),2025-07,68,2380,23,29
Banana (dozen),2025-08,167,5845,51,85
Banana (dozen),2025-09,140,4900,12,31
Banana (dozen),2025-10,189,6615,47,65
Banana (dozen),2025-11,137,4795,19,38
Banana (dozen),2025-12,183,6405,57,87
Orange (kg),2025-07,193,7141,19,25
Orange (kg),2025-08,172,6364,15,33
Orange (kg),2025-09,124,4588,19,58
Orange (kg),2025-10,194,7178,45,73
Orange (kg),2025-11,146,5402,16,29
Orange (kg),2025-12,76,2812,14,50
Mango (kg),2025-07,52,3484,27,32
Mango (kg),2025-08,128,8576,35,68
Mango (kg),2025-09,181,12127,41,61
Mango (kg),2025-10,177,11859,19,34
Mango (kg),2025-11,82,5494,23,63
Mango (kg),2025-12,176,11792,20,55
Soap (pack),2025-07,131,10873,19,38
Soap (pack),2025-08,86,7138,79,84
Soap (pack),2025-09,131,10873,53,66
Soap (pack),2025-10,134,11122,74,89
Soap (pack),2025-11,53,4399,24,45
Soap (pack),2025-12,142,11786,26,44
Shampoo (bottle),2025-07,180,11880,26,56
Shampoo (bottle),2025-08,118,7788,72,108
Shampoo (bottle),2025-09,110,7260,78,95
Shampoo (bottle),2025-10,186,12276,27,35
Shampoo (bottle),2025-11,92,6072,73,95
Shampoo (bottle),2025-12,69,4554,44,70
Toothpaste (tube),2025-07,93,8742,19,33
Toothpaste (tube),2025-08,189,17766,32,65
Toothpaste (tube),2025-09,116,10904,32,42
Toothpaste (tube),2025-10,162,15228,34,41
Toothpaste (tube),2025-11,66,6204,22,33
Toothpaste (tube),2025-12,109,10246,40,51
Detergent (kg),2025-07,181,12670,61,74
Detergent (kg),2025-08,174,12180,76,83
Detergent (kg),2025-09,71,4970,21,57
Detergent (kg),2025-10,135,9450,71,100
Detergent (kg),2025-11,133,9310,70,80
Detergent (kg),2025-12,178,12460,80,97
Handwash (bottle),2025-07,110,11000,72,93
Handwash (bottle),2025-08,142,14200,41,64
Handwash (bottle),2025-09,78,7800,25,65
Handwash (bottle),2025-10,109,10900,44,80
Handwash (bottle),2025-11,74,7400,33,48
Handwash (bottle),2025-12,93,9300,47,72
Sanitizer (bottle),2025-07,200,14600,48,58
Sanitizer (bottle),2025-08,60,4380,27,53
Sanitizer (bottle),2025-09,163,11899,55,65
Sanitizer (bottle),2025-10,141,10293,67,85
Sanitizer (bottle),2025-11,90,6570,32,44
Sanitizer (bottle),2025-12,169,12337,27,48
